inv_id,chem_id,chem_value,chem_expire
INVN1KBRP,CHEM008,317.68,2025-10-01
INVS5NOKL,CHEM001,210.44,2027-12-29
INVNMXD6U,CHEM007,494.57,2026-09-14
INVC4OY8C,CHEM017,302.92,2026-09-06
INVJX45SU,CHEM014,55.61,2025-08-03
INVNH64TL,CHEM017,230.01,2025-08-26
INVTUOAT3,CHEM015,145.46,2026-08-06
INVDBMFLZ,CHEM013,296.89,2026-04-06
INVLTBPUZ,CHEM018,479.68,2025-01-16
INVNOGK29,CHEM019,39.55,2027-07-15
INV4R8VM8,CHEM002,305.34,2026-02-12
INVQY7BMR,CHEM015,130.56,2026-04-30
INVTQYY4C,CHEM010,63.8,2026-10-12
INVCKSXEM,CHEM019,240.66,2027-10-03
INVIRUYVR,CHEM020,391.37,2027-12-04
INVRS9Y5U,CHEM011,388.07,2025-03-19
INVXNTVXV,CHEM019,287.46,2026-10-29
INVEC79HK,CHEM019,455.61,2027-04-04
INVS2XEV0,CHEM003,108.65,2027-01-31
INV4Y0NY2,CHEM018,376.36,2027-08-25
INVPT5IWA,CHEM010,89.43,2025-07-08
INVYHXESK,CHEM012,167.78,2026-01-04
INVKQB5K6,CHEM001,379.23,2026-12-28
INV2E99TL,CHEM003,443.39,2025-06-25
INVF27HT5,CHEM003,13.21,2025-12-08
INVQ4OQBZ,CHEM001,390.47,2027-11-25
INV0ZE2HG,CHEM011,393.36,2027-10-16
INV4CO8LA,CHEM003,30.03,2025-06-18
INV9HNXQE,CHEM002,461.5,2027-01-21
INVLVX1IR,CHEM017,390.25,2027-03-16
INVE6CPN1,CHEM009,260.77,2026-02-01
INVESJVFD,CHEM010,180.13,2025-09-11
INVXV7KXQ,CHEM001,130.0,2027-12-07
INV4OMABV,CHEM012,386.72,2027-11-16
INVCLRTHQ,CHEM004,101.28,2026-07-12
INVCRM9FG,CHEM018,137.49,2025-07-02
INV1IV6G7,CHEM017,186.72,2025-09-08
INVGTKKRW,CHEM011,384.66,2026-10-13
INVDIS3F6,CHEM003,311.82,2026-11-07
INV43ZABM,CHEM015,439.6,2025-06-19
INVQ00RF2,CHEM008,239.52,2026-02-27
INVJGWT10,CHEM015,470.28,2026-12-23
INVR7Y45Q,CHEM013,378.04,2027-09-04
INVVH6M8B,CHEM015,494.84,2027-10-07
INVUOITCL,CHEM015,273.44,2026-09-27
INVWHIWF2,CHEM020,230.35,2025-08-15
INV068ZG6,CHEM012,145.81,2025-03-30
INVL3B3A2,CHEM015,274.65,2026-06-05
INVNGTX53,CHEM004,416.59,2026-11-07
INVQ657PL,CHEM009,353.46,2027-01-21
INVA1Q32X,CHEM014,439.94,2025-11-30
INV3K2L8V,CHEM006,452.17,2027-09-07
INV944IOW,CHEM017,94.5,2027-08-16
INVZQP4OZ,CHEM016,381.63,2027-11-16
INVUR1K6G,CHEM008,492.25,2026-04-01
INV9PTSX1,CHEM006,279.05,2027-01-30
INVYU2GUA,CHEM005,37.61,2027-08-23
INV6ONTCN,CHEM006,160.25,2027-11-28
INVA4YK5E,CHEM003,84.46,2025-08-14
INV82AY12,CHEM010,242.67,2027-01-02
INVJZGF47,CHEM011,267.87,2027-04-10
INVO0GIUR,CHEM006,495.23,2027-09-18
INVJVR5WR,CHEM016,357.79,2025-05-05
INVRJ3FN5,CHEM006,464.41,2025-01-30
INVD99BWL,CHEM005,215.54,2025-02-16
INVSN144H,CHEM003,206.29,2025-12-07
INVR7D21L,CHEM004,466.99,2027-03-18
INVBFEWOQ,CHEM016,326.48,2025-11-12
INVQIZMVL,CHEM004,208.84,2027-12-21
INV4FGIVU,CHEM016,231.2,2026-05-06
INV4TIHKM,CHEM009,384.52,2027-04-14
INVY43WVL,CHEM015,356.34,2025-08-03
INVZY4GBD,CHEM009,431.3,2026-01-27
INVZ2JSBN,CHEM005,178.9,2026-03-26
INVDSSFVE,CHEM020,41.25,2027-11-13
INV7QSFX6,CHEM007,143.38,2027-11-11
INV90HBG4,CHEM004,239.73,2027-07-14
INVL2GQ8H,CHEM018,121.38,2026-02-12
INVD9VUJT,CHEM017,483.43,2027-01-25
INV8V45A8,CHEM019,493.15,2026-09-26
INVLTBN3W,CHEM009,269.59,2026-08-08
INVGF7SVX,CHEM009,490.38,2026-01-16
INVSP1C69,CHEM002,255.3,2026-10-10
INV2TQOL5,CHEM014,444.01,2025-01-14
INV4GN3XZ,CHEM008,22.21,2026-03-28
INV5JAP95,CHEM018,395.46,2025-06-25
INV70I83D,CHEM008,402.8,2026-09-22
INV9SMIDX,CHEM019,495.94,2025-10-19
INVVMMAKJ,CHEM017,123.73,2027-10-27
INVIYL9IS,CHEM012,486.6,2025-05-12
INV3IY9IZ,CHEM020,301.0,2026-05-16
INVNVIDV4,CHEM013,321.67,2026-11-25
INV2MF5ZG,CHEM018,35.97,2025-12-07
INV9N3DKC,CHEM006,460.13,2026-06-21
INVGE0G6W,CHEM016,82.33,2026-10-26
INVF2ZMLX,CHEM019,457.3,2026-01-15
INVMNZPCC,CHEM006,322.91,2027-11-27
INVW3W2WK,CHEM018,17.69,2026-12-05
INVFYJAZR,CHEM011,210.21,2027-04-14
INV2XLOVV,CHEM003,67.59,2025-01-02
