slide_id,sample_code,tissue_type,stain_type,loction
S0001,SP0001,Liver,H&E,Cabinet-4
S0002,SP0002,Kidney,PAS,Cabinet-8
S0003,SP0003,Skin,Trichrome,Cabinet-3
S0004,SP0004,Brain,H&E,Cabinet-9
S0005,SP0005,Muscle,PAS,Cabinet-6
S0006,SP0006,Liver,Gram,Cabinet-3
S0007,SP0007,Brain,H&E,Cabinet-2
S0008,SP0008,Brain,H&E,Cabinet-1
S0009,SP0009,Skin,H&E,Cabinet-4
S0010,SP0010,Kidney,H&E,Cabinet-1
S0011,SP0011,Brain,Trichrome,Cabinet-3
S0012,SP0012,Skin,H&E,Cabinet-9
S0013,SP0013,Brain,PAS,Cabinet-9
S0014,SP0014,Skin,H&E,Cabinet-7
S0015,SP0015,Kidney,Gram,Cabinet-4
S0016,SP0016,Liver,Gram,Cabinet-8
S0017,SP0017,Liver,H&E,Cabinet-1
S0018,SP0018,Kidney,Trichrome,Cabinet-7
S0019,SP0019,Liver,PAS,Cabinet-10
S0020,SP0020,Muscle,H&E,Cabinet-7
S0021,SP0021,Liver,Gram,Cabinet-10
S0022,SP0022,Kidney,Trichrome,Cabinet-1
S0023,SP0023,Brain,Gram,Cabinet-10
S0024,SP0024,Kidney,Gram,Cabinet-3
S0025,SP0025,Brain,Gram,Cabinet-7
S0026,SP0026,Skin,Trichrome,Cabinet-7
S0027,SP0027,Skin,Gram,Cabinet-8
S0028,SP0028,Liver,PAS,Cabinet-9
S0029,SP0029,Liver,H&E,Cabinet-10
S0030,SP0030,Liver,PAS,Cabinet-3
S0031,SP0031,Skin,Gram,Cabinet-1
S0032,SP0032,Muscle,Trichrome,Cabinet-4
S0033,SP0033,Kidney,Gram,Cabinet-10
S0034,SP0034,Muscle,H&E,Cabinet-1
S0035,SP0035,Brain,Gram,Cabinet-7
S0036,SP0036,Skin,Trichrome,Cabinet-5
S0037,SP0037,Skin,PAS,Cabinet-5
S0038,SP0038,Kidney,Trichrome,Cabinet-4
S0039,SP0039,Muscle,PAS,Cabinet-10
S0040,SP0040,Skin,Gram,Cabinet-2
S0041,SP0041,Skin,Gram,Cabinet-10
S0042,SP0042,Liver,H&E,Cabinet-5
S0043,SP0043,Skin,Trichrome,Cabinet-4
S0044,SP0044,Brain,H&E,Cabinet-10
S0045,SP0045,Kidney,H&E,Cabinet-5
S0046,SP0046,Brain,PAS,Cabinet-2
S0047,SP0047,Kidney,Trichrome,Cabinet-1
S0048,SP0048,Skin,PAS,Cabinet-2
S0049,SP0049,Kidney,Gram,Cabinet-9
S0050,SP0050,Skin,Gram,Cabinet-9
S0051,SP0051,Skin,PAS,Cabinet-4
